,WMO ID,Calib Type,Num Prof,RMSE(0-2000m),RMSE(500-2000m),RMSE(1000-2000m),RMSE_ADJ(0-2000m),RMSE_ADJ(500-2000m),RMSE_ADJ(1000-2000m),File
0,1900650,3,130.0,nan,nan,nan,nan,nan,nan,compare_woa_v3/1900650_26lev.nc
1,1900651,3,121.0,nan,nan,nan,nan,nan,nan,compare_woa_v3/1900651_26lev.nc
2,1900652,3,128.0,nan,nan,nan,nan,nan,nan,compare_woa_v3/1900652_26lev.nc
3,1900722,3,135.0,nan,nan,nan,7.891063680733993,7.071215008421102,6.416451777837016,compare_woa_v3/1900722_26lev.nc
4,1900943,1,65.0,nan,nan,nan,28.84313939424681,14.896752672673975,13.263093576642499,compare_woa_v3/1900943_26lev.nc
5,1901134,1,255.0,24.324868294717977,21.717294848252088,20.10202398164154,10.463978694571127,10.980878121260133,8.931304781312422,compare_woa_v3/1901134_26lev.nc
6,1901135,1,173.0,28.23950863493552,21.16479997578979,20.827992887413824,18.01409021199728,7.381827623567848,6.404750384686983,compare_woa_v3/1901135_26lev.nc
7,1901152,1,180.0,18.88572884994061,16.328080702160833,17.31023678212977,10.945452924840072,9.41573000171661,8.160665005479714,compare_woa_v3/1901152_26lev.nc
8,1901153,1,309.0,20.752473067556824,18.319697441634386,19.57156240051609,11.34025196220768,8.877343582216517,9.020075376197587,compare_woa_v3/1901153_26lev.nc
9,1901154,1,339.0,18.213999755965293,15.615115227411744,14.22244708988438,11.634753115568405,9.731273660716862,6.884744156058939,compare_woa_v3/1901154_26lev.nc
10,1901155,1,355.0,20.710332726013128,17.87364259590179,15.39952958310016,14.412852089866474,11.327689756911012,7.836498392633185,compare_woa_v3/1901155_26lev.nc
11,1901156,1,56.0,19.45115496566508,15.516087623186607,14.196509360106575,16.911530974506753,8.459158590043911,7.238233009428459,compare_woa_v3/1901156_26lev.nc
12,1901157,1,322.0,22.650249838119386,17.723957911122017,15.806501632897014,15.406399566097251,9.24760482033567,6.880958359491444,compare_woa_v3/1901157_26lev.nc
13,1901158,1,141.0,17.869877871492587,15.713013712519341,15.764194763723259,10.20300865296775,7.557309420647613,7.061197519206331,compare_woa_v3/1901158_26lev.nc
14,1901159,1,196.0,19.80367219555333,17.264058934898543,15.531908058442841,10.848544518949847,9.641396751306095,7.131874904260345,compare_woa_v3/1901159_26lev.nc
15,1901205,4,5e-324,nan,nan,nan,nan,nan,nan,
16,1901206,4,6.9469084344729e-310,nan,nan,nan,nan,nan,nan,
17,1901207,1,198.0,nan,nan,nan,15.928336748784684,16.252234558627286,17.568351802350072,compare_woa_v3/1901207_26lev.nc
18,1901208,4,0.0,nan,nan,nan,nan,nan,nan,
19,1901209,4,1.2e-322,nan,nan,nan,nan,nan,nan,
20,1901210,4,6.94689705905924e-310,nan,nan,nan,nan,nan,nan,
21,1901211,4,5e-324,nan,nan,nan,nan,nan,nan,
22,1901212,4,0.0,nan,nan,nan,nan,nan,nan,
23,1901213,4,6.578186953e-313,nan,nan,nan,nan,nan,nan,
24,1901214,4,6.7903865321e-313,nan,nan,nan,nan,nan,nan,
25,1901215,4,8.4e-323,nan,nan,nan,nan,nan,nan,
26,1901217,4,6.94690843446896e-310,nan,nan,nan,nan,nan,nan,
27,1901218,4,6.94690843447134e-310,nan,nan,nan,nan,nan,nan,
28,1901329,1,695.0,16.36213384939977,nan,nan,13.975562745041874,nan,nan,compare_woa_v3/1901329_26lev.nc
29,1901338,1,701.0,19.037261014771158,17.20438511067841,12.464608531921183,16.74779028857554,13.863650255266498,9.031395681979697,compare_woa_v3/1901338_26lev.nc
30,1901339,1,725.0,15.29272866893928,15.84262663425532,12.230840976496843,15.956625483159172,11.833608547781823,7.980643696440122,compare_woa_v3/1901339_26lev.nc
31,1901347,4,1.5e-323,nan,nan,nan,nan,nan,nan,
32,1901348,1,228.0,13.76350746641122,14.146780605503068,nan,12.289934073885606,13.139674736867416,nan,compare_woa_v3/1901348_26lev.nc
33,1901360,2,108.0,nan,nan,nan,19.359119412905542,9.056574045051448,7.815926754062859,compare_woa_v3/1901360_26lev.nc
34,1901361,2,119.0,nan,nan,nan,21.310112758470023,9.47254326700093,8.421598756895685,compare_woa_v3/1901361_26lev.nc
35,1901362,2,18.0,nan,nan,nan,26.3179547190907,10.530918460750152,10.214069866191366,compare_woa_v3/1901362_26lev.nc
36,1901363,2,124.0,nan,nan,nan,22.734147058499218,9.254786104788442,7.948342036346485,compare_woa_v3/1901363_26lev.nc
37,1901364,2,61.0,nan,nan,nan,31.374008853811436,12.812730797158824,9.44030861793086,compare_woa_v3/1901364_26lev.nc
38,1901365,2,121.0,nan,nan,nan,26.972361172941284,10.557282641417263,8.405709451739776,compare_woa_v3/1901365_26lev.nc
39,1901378,1,265.0,nan,nan,nan,15.16196750454297,17.410005199686175,nan,compare_woa_v3/1901378_26lev.nc
40,1901379,1,293.0,nan,nan,nan,14.49196700541357,13.957884236419162,5.050835445067421,compare_woa_v3/1901379_26lev.nc
41,1901466,1,231.0,nan,nan,nan,15.079592192120446,12.856737117190857,10.075481324832275,compare_woa_v3/1901466_26lev.nc
42,1901467,1,246.0,nan,nan,nan,13.987932507897353,9.730723868538556,9.93399742587821,compare_woa_v3/1901467_26lev.nc
43,1901468,1,35.0,nan,nan,nan,16.747821133258462,9.163409279384963,8.249401418432655,compare_woa_v3/1901468_26lev.nc
44,1901498,1,187.0,nan,nan,nan,nan,nan,nan,compare_woa_v3/1901498_26lev.nc
45,1901499,1,138.0,nan,nan,nan,nan,nan,nan,compare_woa_v3/1901499_26lev.nc
46,1901501,1,229.0,nan,nan,nan,14.733860009379118,14.184473486206558,16.270065307617188,compare_woa_v3/1901501_26lev.nc
47,1901668,1,197.0,nan,nan,nan,22.21292706605037,23.184931415181502,23.17110955088456,compare_woa_v3/1901668_26lev.nc
48,1902303,1,54.0,nan,nan,nan,6.639262292342249,7.531316223630851,7.377361046449749,compare_woa_v3/1902303_26lev.nc
49,1902304,1,72.0,nan,nan,nan,13.36357469254039,17.239006747052258,6.260723545771585,compare_woa_v3/1902304_26lev.nc
50,1902332,4,6.94690843446264e-310,nan,nan,nan,nan,nan,nan,
51,2900114,3,216.0,nan,nan,nan,20.228065591544233,10.485784485160503,9.6793575021374,compare_woa_v3/2900114_26lev.nc
52,2900115,3,118.0,nan,nan,nan,25.96746026297865,10.744342677977786,8.821453519646925,compare_woa_v3/2900115_26lev.nc
53,2900116,3,239.0,nan,nan,nan,26.60047243565604,12.237608144494384,10.579136216921254,compare_woa_v3/2900116_26lev.nc
54,2900117,3,236.0,nan,nan,nan,24.09553381659902,7.803541760067989,7.939629695403351,compare_woa_v3/2900117_26lev.nc
55,2900118,3,130.0,nan,nan,nan,21.556541148139196,6.465362567778949,7.479791132899403,compare_woa_v3/2900118_26lev.nc
56,2900119,3,84.0,nan,nan,nan,20.643068806133535,6.8157713662664845,6.631575464122932,compare_woa_v3/2900119_26lev.nc
57,2900120,3,217.0,nan,nan,nan,26.644696844167886,8.178094211601978,7.779334882115605,compare_woa_v3/2900120_26lev.nc
58,2900123,3,176.0,nan,nan,nan,24.861306084550666,9.987753144846522,8.48866794014844,compare_woa_v3/2900123_26lev.nc
59,2900124,3,64.0,nan,nan,nan,24.923615003205956,6.924485122664949,6.217833318194479,compare_woa_v3/2900124_26lev.nc
60,2900125,3,213.0,nan,nan,nan,24.865724371631604,7.854129501806628,6.989936747433196,compare_woa_v3/2900125_26lev.nc
61,2900126,3,236.0,nan,nan,nan,19.00452450276204,9.294336343653908,8.72945458348419,compare_woa_v3/2900126_26lev.nc
62,2900127,3,193.0,nan,nan,nan,31.186741576992425,9.382743050631413,9.090930913985996,compare_woa_v3/2900127_26lev.nc
63,2900128,1,224.0,nan,nan,nan,26.445170432096734,9.578222484093452,9.09024742302343,compare_woa_v3/2900128_26lev.nc
64,2900129,3,199.0,nan,nan,nan,24.077834979746935,9.138909893212187,8.450102156995438,compare_woa_v3/2900129_26lev.nc
65,2900446,4,6.9469084344595e-310,nan,nan,nan,nan,nan,nan,
66,2900447,4,6.94690843446185e-310,nan,nan,nan,nan,nan,nan,
67,2900448,4,0.0,nan,nan,nan,nan,nan,nan,
68,2900449,4,0.0,nan,nan,nan,nan,nan,nan,
69,2900460,4,0.0,nan,nan,nan,nan,nan,nan,
70,2900514,4,0.0,nan,nan,nan,nan,nan,nan,
71,2900540,4,8.4879831732e-314,nan,nan,nan,nan,nan,nan,
72,2900541,4,9.33678148124e-313,nan,nan,nan,nan,nan,nan,
73,2900542,4,5e-324,nan,nan,nan,nan,nan,nan,
74,2900603,3,7.0,19.100464363224944,19.851029770536556,nan,nan,nan,nan,compare_woa_v3/2900603_26lev.nc
75,2900604,4,5e-324,nan,nan,nan,nan,nan,nan,
76,2900605,3,61.0,45.48721599907905,34.99319661070107,nan,nan,nan,nan,compare_woa_v3/2900605_26lev.nc
77,2900606,4,1e-322,nan,nan,nan,nan,nan,nan,
78,2900607,4,2.1636081024e-314,nan,nan,nan,nan,nan,nan,
79,2900608,3,118.0,29.311996320114723,14.15092515587234,nan,nan,nan,nan,compare_woa_v3/2900608_26lev.nc
80,2900609,4,0.0,nan,nan,nan,nan,nan,nan,
81,2900610,4,4.6683907412e-313,nan,nan,nan,nan,nan,nan,
82,2900616,4,4.8805903203e-313,nan,nan,nan,nan,nan,nan,
83,2900727,4,1.2e-322,nan,nan,nan,nan,nan,nan,
84,2900728,4,6.9469003143748e-310,nan,nan,nan,nan,nan,nan,
85,2900730,4,5e-324,nan,nan,nan,nan,nan,nan,
86,2900731,4,0.0,nan,nan,nan,nan,nan,nan,
87,2900732,4,1.69759663386e-313,nan,nan,nan,nan,nan,nan,
88,2900733,4,3.60739284573e-313,nan,nan,nan,nan,nan,nan,
89,2900734,4,1.2e-322,nan,nan,nan,nan,nan,nan,
90,2900735,4,6.94689705905924e-310,nan,nan,nan,nan,nan,nan,
91,2900736,4,5e-324,nan,nan,nan,nan,nan,nan,
92,2900737,4,0.0,nan,nan,nan,nan,nan,nan,
93,2900765,4,3.8195924248e-313,nan,nan,nan,nan,nan,nan,
94,2900784,3,186.0,27.80060501776552,24.676726267746545,nan,nan,nan,nan,compare_woa_v3/2900784_26lev.nc
95,2900785,3,71.0,24.17092549842433,15.80515979161861,nan,nan,nan,nan,compare_woa_v3/2900785_26lev.nc
96,2900786,4,6.9469084345006e-310,nan,nan,nan,nan,nan,nan,
97,2900787,4,0.0,nan,nan,nan,nan,nan,nan,
98,2900788,4,0.0,nan,nan,nan,nan,nan,nan,
99,2900789,3,15.0,29.455564941438944,28.773426240072354,nan,nan,nan,nan,compare_woa_v3/2900789_26lev.nc
100,2900790,3,85.0,29.070322810160846,27.142476175982825,nan,nan,nan,nan,compare_woa_v3/2900790_26lev.nc
101,2900791,4,6.94690843450296e-310,nan,nan,nan,nan,nan,nan,
102,2900792,4,5e-324,nan,nan,nan,nan,nan,nan,
103,2900794,3,64.0,30.025074279185585,32.28890152411232,nan,nan,nan,nan,compare_woa_v3/2900794_26lev.nc
104,2900795,4,4.243991583e-313,nan,nan,nan,nan,nan,nan,
105,2900884,4,8e-323,nan,nan,nan,nan,nan,nan,
106,2900886,1,28.0,31.156669559867638,nan,nan,30.16613098204185,nan,nan,compare_woa_v3/2900886_26lev.nc
107,2900914,3,2.0,36.52194934622391,19.778875644014658,nan,nan,nan,nan,compare_woa_v3/2900914_26lev.nc
108,2900915,3,73.0,39.11178137295401,41.273620534357434,nan,nan,nan,nan,compare_woa_v3/2900915_26lev.nc
109,2900916,4,1.69759663386e-313,nan,nan,nan,nan,nan,nan,
110,2900917,4,4.8805903203e-313,nan,nan,nan,nan,nan,nan,
111,2900918,3,182.0,28.199708163599187,36.6758848924697,nan,nan,nan,nan,compare_woa_v3/2900918_26lev.nc
112,2900919,4,6.9469084345496e-310,nan,nan,nan,nan,nan,nan,
113,2900926,4,6.9469084345737e-310,nan,nan,nan,nan,nan,nan,
114,2900961,4,6.94690843462114e-310,nan,nan,nan,nan,nan,nan,
115,2900962,4,6.9469084346429e-310,nan,nan,nan,nan,nan,nan,
116,2900993,4,6.9469084346733e-310,nan,nan,nan,nan,nan,nan,
117,2900997,4,6.9469084346974e-310,nan,nan,nan,nan,nan,nan,
118,2900998,4,6.94690843472153e-310,nan,nan,nan,nan,nan,nan,
119,2900999,4,6.94690843474564e-310,nan,nan,nan,nan,nan,nan,
120,2901041,4,6.94690843476975e-310,nan,nan,nan,nan,nan,nan,
121,2901042,4,6.94690843479386e-310,nan,nan,nan,nan,nan,nan,
122,2901043,4,6.9469084348093e-310,nan,nan,nan,nan,nan,nan,
123,2901177,4,6.9469084348334e-310,nan,nan,nan,nan,nan,nan,
124,2901178,4,6.9469084348575e-310,nan,nan,nan,nan,nan,nan,
125,2901208,4,6.9469084348816e-310,nan,nan,nan,nan,nan,nan,
126,2901209,4,6.9469084349057e-310,nan,nan,nan,nan,nan,nan,
127,2901210,4,6.94690843492983e-310,nan,nan,nan,nan,nan,nan,
128,2901211,3,172.0,31.167369102247644,35.62596766028065,nan,nan,nan,nan,compare_woa_v3/2901211_26lev.nc
129,2901212,3,22.0,32.48663820402419,28.225344404403074,nan,nan,nan,nan,compare_woa_v3/2901212_26lev.nc
130,2901527,3,184.0,nan,nan,nan,64.61585826649005,nan,nan,compare_woa_v3/2901527_26lev.nc
131,2901528,4,6.946908434997e-310,nan,nan,nan,nan,nan,nan,
132,2901550,4,6.9469084351144e-310,nan,nan,nan,nan,nan,nan,
133,2901551,1,257.0,10.893112857709799,11.929528712824924,11.92011098552473,9.402541246335733,14.619321651767144,9.74658597793158,compare_woa_v3/2901551_26lev.nc
134,2901552,4,6.94690843529544e-310,nan,nan,nan,nan,nan,nan,
135,2901553,4,6.94690843618317e-310,nan,nan,nan,nan,nan,nan,
136,2901554,4,6.946908436197e-310,nan,nan,nan,nan,nan,nan,
137,2901555,1,259.0,8.020975663013115,7.784534883376386,1.8098652020438284,8.41144320042314,9.631743053364929,2.9508981558587295,compare_woa_v3/2901555_26lev.nc
138,2901556,4,6.94690843625867e-310,nan,nan,nan,nan,nan,nan,
139,2901557,4,6.94690843634365e-310,nan,nan,nan,nan,nan,nan,
140,2901558,4,6.94690843640214e-310,nan,nan,nan,nan,nan,nan,
141,2901559,1,260.0,11.596158938914444,12.586033616801563,11.76396724478961,8.584562135732211,12.980002840985733,9.939207162267431,compare_woa_v3/2901559_26lev.nc
142,2901560,1,264.0,16.363998150076753,19.266260619460642,nan,9.75551082963525,15.263725607419264,nan,compare_woa_v3/2901560_26lev.nc
